,table,,table,,page,
2721,,"RIVER WARDHA AT U/S OF ACC
GHUGGUS. , CHANDRAPUR,
CHANDRAPUR",MAHARASHTRA,,24.0,
2722,,"RIVER WENA AT U/S OF MOHATA
MILLS, NEAR RAILWAY BRIDGE,
HINGANGHAT, WARDHA",MAHARASHTRA,,16.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
2723,,"RIVER WENA AT D/S OF MOHATA
MILLS, NR RD BRG ON
HINGANGHAT-WADNER ROAD,
HINGANGHAT, WARDHA",MAHARASHTRA,,16.0,
1689,,RIVER CHUNNAMBAR RIVER,PUDUCHERRY,,29.0,
1908,,"RIVER KOLAR BEFORE CONFLUENCE
TO KANHAN AT WAREGAON,
KAMPTEE, NAGPUR",MAHARASHTRA,,22.0,
1909,,"RIVER KANHAN D/S OF NAGPUR,
AGARGAON, KUHI, NAGPUR",MAHARASHTRA,,16.0,
2170,,"RIVER KANHAN U/S OF M/S
VIDHARBHA PAPER MILL, SINORA,
PARSEONI, NAGPUR",MAHARASHTRA,,23.0,
2171,,"RIVER KANHAN D/S OF M/S
VIDHARBHA PAPER MILL, SINORA,
PARSEONI, NAGPUR",MAHARASHTRA,,23.0,
3312,,"RIVER KANHAN AT CHINDWARA
BEFORE MIXING BOREGAON
GROWTH CENTRE NALLA,
JABALPUR","MADHYA
PRADESH",,18.0,
2657,,"RIVER BINDUSARA AT BEED NEAR
INTAKE WATER PUMP HOUSE AT
DAM, PALIGAON, BEED, BEED",MAHARASHTRA,,22.0,
4255,,"RIVER ALI SAGAR RESERVIOR
PROJECT AREA, ALISAGAR (V)
YEDAPALLY (M) NIZAMABAD DIST.",TELANGANA,,15.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1889,,"RIVER KRISHNA - ANKALI
BRIDGE ALONG CHIKKODI
KAGWAD ROAD",KARNATAKA,,22.0,
1182,,"RIVER KRISHNA AT U/S OF
UGARKHURD BARRAGE,",KARNATAKA,,23.0,
2781,,"RIVER KRISHNA AT D/S OF
ALAMATTI DAM,",KARNATAKA,,28.0,
1181,,"RIVER KRISHNA AT D/S OF
NARAYANPURA DAM,",KARNATAKA,,28.0,
1028,,"RIVER KRISHNA AT TINTINI
BRIDGE,",KARNATAKA,,26.0,
1170,,"RIVER KRISHNA AT D/S OF
DEVASAGAR BDG.,",KARNATAKA,,27.0,
30056,,"RIVER KRISHNA AT
DEODURGA (BANGALORE)",KARNATAKA,,26.0,
39,,"RIVER KRISHNA AT
GADWAL BRIDGE",TELANGANA,,21.0,
1465,,"RIVER KRISHNA AT
WADAPALLY AFTER CONFL.
WITH R. MUSI(SHIFTED
FROM 1220)",TELANGANA,,17.0,
1784,,"RIVER KRISHNA AT
THANGADI ,
MAHABOOBNAGAR DIST.",TELANGANA,,20.0,
4259,,"RIVER KRISHNA -
NAGARJUNA SAGAR DAM
SPILL WAY, NAGARJUNA
(V), PEDDAVOORA (M),
NALGONDA",TELANGANA,,16.0,
4663,,"RIVER KRISHNA AT
MATTEPALLY, 500 MTS
BEFORE BATHING GAHT",TELANGANA,,18.0,
1175,,"RIVER KRISHNA A/C WITH
TUNGABHADRA,","ANDHRA
PRADESH",,21.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"SANGAMESHWARAM,
KUNOOL",,,,
1786,,"RIVER KRISHNA AT
VEDADRI, KURNOOL","ANDHRA
PRADESH",,25.0,
3083,,"RIVER KRISHNA D/S OF
SRISHAILAM, KURNOOL","ANDHRA
PRADESH",,20.0,
3079,,"RIVER KRISHNA D/S OF
RAMALINGESHWARNAGAR
A/C WITH TREATED
SEWAGE DISCHARGING
FROM 10MLD STP LOCATED
AT
RAMALINGESHWARNAGAR,
VIJAYAWADA, KRISHNA","ANDHRA
PRADESH",,26.0,
1787,,"RIVER KRISHNA AT
AMARAVATI, GUNTUR","ANDHRA
PRADESH",,22.0,
25,,"RIVER KRISHNA AT
VIJAYWADA, KRISHNA","ANDHRA
PRADESH",,25.0,
1782,,"RIVER KRISHNA AT
HAMSALADEEVI
PULIGADDA AQUEDUCT
NEAR AVANIGADDA(V),
KRISHNA DISTRICT","ANDHRA
PRADESH",,23.0,
4375,,"RIVER KRISHNA, PAVITHRA
SANGAMAM, AFTER
CONFLUENCE WITH RIVER
GODAVARI WATER
LBRAHIMPATNAM (M)","ANDHRA
PRADESH",,24.0,
4381,,"RIVER KRISHNA AFTER
CONFLUENCE WITH RIVER
MUSI AT VADAPALLI (V)
BETWEEN ANDHRA
PRADESH & TELANGANA
STATES","ANDHRA
PRADESH",,22.0,
30047,,"RIVER KRISHNA AT
KURUNDWAD, KOLHAPUR,
(MAHARASHTRA)",MAHARASHTRA,,23.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1153,,"RIVER KRISHNA AT
RAJAPUR WEIR, RAJAPUR,
SHIROL, KOHLAPUR",MAHARASHTRA,,25.0,
1194,,"RIVER KRISHNA AT
MAHABALESHWAR DHOM
DAM NEAR KOINA DAM,
MAHABALESHWAR,
SATARA",MAHARASHTRA,,21.5,
1310,,"RIVER KRISHNA AT
KURUNDWAD, SHIROL,
KOLHAPUR",MAHARASHTRA,,26.0,
1906,,"RIVER KRISHNA D/S OF
ISLAMPUR, WALWA,
SANGLI",MAHARASHTRA,,25.0,
2187,,"RIVER KRISHNA AT
KSHETRA MAHULI,
MAHULI, SATARA",MAHARASHTRA,,21.0,
2188,,"RIVER KRISHNA AT
KRISHNA-VENNA SANGAM
AT MAHULI, SATARA",MAHARASHTRA,,21.5,
2190,,"RIVER KRISHNA AT WAI,
SATARA",MAHARASHTRA,,21.5,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
1311,,"RIVER PANCHAGANGA AT
ICHALKARANJI,
SHIRADWAD,HATKANANGALE,K
OHLAPUR",MAHARASHTRA,,25.0,
2163,,"RIVER PANCHAGANGA AT
SHIROL NEAR SHIROL INTAKE
WELL, KOLHAPUR",MAHARASHTRA,,25.0,
1904,,"RIVER PANCHAGANGA U/S OF
KOLHAPUR TOWN, BALINGA,
KARVIR, KOLHAPUR",MAHARASHTRA,,24.0,
1905,,"RIVER PANCHAGANGA D/S OF
KOLHAPUR TOWN, UCHEGAON,
KOLHAPUR",MAHARASHTRA,,24.0,
1189,,"RIVER BHIMA AT PUNE U/S
VITHALWADI, HAWELI, PUNE",MAHARASHTRA,,21.0,
2655,,"RIVER BHIMA AT KOREGAON
NEAR KOREGAON BRIDGE,
SHIRUR, PUNE",MAHARASHTRA,,22.0,
1190,,"RIVER BHIMA AT PUNE, D/S OF
BUNDGARDEN, YERWADA,
HAWELI, PUNE",MAHARASHTRA,,22.5,
1191,,"RIVER BHIMA AT PARGAON
(AFTER CONFL.WITH MULA
MUTHA),PARGAON, DAUND,
PUNE",MAHARASHTRA,,23.0,
1188,,"RIVER BHIMA AT NARSINGPUR,
(D/S AF.CONFL.WITH R.NIRA),
NARSINGPUR, MALSHIROS,
SOLAPUR",MAHARASHTRA,,27.0,
28,,"RIVER BHIMA AT TAKLI, SOUTH
SOLAPUR, SOLAPUR",MAHARASHTRA,,25.0,
30057,,"RIVER BHIMA AT GANGAPUR
(BANGALORE)",KARNATAKA,,29.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
1183,,"RIVER BHIMA AT D/S OF ROAD
BRIDGE AT GANGAPUR VILLAGE,",KARNATAKA,,27.0,
1184,,"RIVER BHIMA AT FEROZABAD
VILLAGE (D/S),",KARNATAKA,,27.0,
1167,,"RIVER BHIMA AT D/S OF BDG.
NEAR YADGIR,",KARNATAKA,,25.0,
1888,,"RIVER BHIMA AT CONFLUENCE
OF JEWARGI TOWN SEWAGE
DISPOSAL POINT",KARNATAKA,,28.0,
1192,,"RIVER BHIMA AFTER CONF. WITH
DAUND, DAUND, PUNE",MAHARASHTRA,,22.0,
2656,,"RIVER BHIMA RIVER-
BACKWATER OF UJANI DAM
NEAR RAW WATER PUMP
HOUSE, KUMBARGAON,
INDAPUR, PUNE",MAHARASHTRA,,23.0,
30046,,"RIVER BHIMA AT TAKLI,
SOLAPUR, (MAHARASHTRA)",MAHARASHTRA,,27.0,
2665,,"RIVER GHOD AT SHIRUR, PUNE",MAHARASHTRA,,22.0,
2196,,"RIVER PAWANA AT
SANGAVIGAON, HAWELI PUNE.",MAHARASHTRA,,23.0,
2690,,"RIVER PAWANA AT KASARWADI,
HAWELI, PUNE",MAHARASHTRA,,23.0,
2691,,"RIVER PAWANA AT DAPODI
BRIDGE AT PAWANA-MULLA
SANGAM, DAPODI, HAWELI,
PUNE",MAHARASHTRA,,23.0,
2692,,"RIVER PAWANA AT RAVET WEIR,
RAVET, HAWELI",MAHARASHTRA,,23.0,
2693,,"RIVER PAWANA AT
CHINCHWADGAON, HAWELI",MAHARASHTRA,,23.0,
2694,,"RIVER PAWANA AT
PIMPRIGAON, HAWELI, PUNE",MAHARASHTRA,,23.0,
2715,,"RIVER VEL AT SHIKRAPUR,
SHIRUR, PUNE",MAHARASHTRA,,22.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED UNDER,,,,,
,"E(P) RULES, 1986",,,,,
2186,,"RIVER VENNA AT VARYE,
SATARA.",MAHARASHTRA,,22.0,
2716,,"RIVER VENNA AT
MAHABALESHWAR, SATARA",MAHARASHTRA,,19.0,
2717,,"RIVER VENNA AT MAHULI,
SATARA",MAHARASHTRA,,21.5,
2711,,"RIVER URMODI RIVER,
NAGTHANE, SATARA",MAHARASHTRA,,21.0,
2197,,"RIVER INDRAYANI AT D/S OF
ALANDIGAON, HAWELI,PUNE",MAHARASHTRA,,23.0,
2668,,"RIVER INDRAYANI AT D/S OF
MOSHIGAON, HAWELI, PUNE",MAHARASHTRA,,23.0,
2669,,"RIVER INDRAYANI AT U/S OF
MOSHIGAON, HAWELI, PUNE",MAHARASHTRA,,23.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1163,,"RIVER GHATPRABHA AT W.A.
POINT TO GOKAK TOWN,",KARNATAKA,,22.0,
1185,,"RIVER GHATPRABHA AT D/S OF
MUDHOL RD. CROSS BDG.,",KARNATAKA,,17.0,
1187,,"RIVER MALPRABHA AT D/S OF
KHANAPUR VILLAGE,",KARNATAKA,,19.0,
1164,,"RIVER MALPRABHA AT WATER
ABSTR. PT. TO HUBLI,
DHARWAR,",KARNATAKA,,22.0,
1186,,"RIVER MALPRABHA AT D/S OF
AIHOLE TOWN,",KARNATAKA,,18.0,
2764,,"RIVER MALPRABHA AT BADAMI
BRIDGE,",KARNATAKA,,18.0,
29,,"RIVER TUNGABHADRA AT
ULLANUR",KARNATAKA,,26.0,
2767,,"RIVER TUNGABHADRA AT U/S
OF HPF,",KARNATAKA,,25.0,
2768,,"RIVER TUNGABHADRA AT D/S
OF HPF,",KARNATAKA,,26.0,
2769,,"RIVER TUNGABHADRA AT
JACKWELL POINT,",KARNATAKA,,26.0,
3558,,"RIVER TUNGABHADRA AT
DADESUGUR BRIDGE GAUGING
STATION",KARNATAKA,,26.0,
4494,,"RIVER TUNGABHADRA AT
MYLARA",KARNATAKA,,26.0,
4495,,"RIVER TUNGABHADRA AT
ARAVI",KARNATAKA,,26.0,
30054,,"RIVER TUNGABHADRA AT
HOCHECHALLI (BANGALORE)",KARNATAKA,,-,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2770,,"RIVER TUNGABHADRA AT
HARIHAR WATER SUPPLY
INTAKE,",KARNATAKA,,25.0,
2776,,"RIVER TUNGABHADRA AT D/S
OF GANGAWATHI,",KARNATAKA,,26.0,
2766,,"RIVER TUNGABHADRA AT NEW
BRIDGE,",KARNATAKA,,25.0,
38,,"RIVER TUNGABHADRA AT
HONNALI BRIDGE",KARNATAKA,,26.0,
1029,,"RIVER TUNGABHADRA AT
HARALAHALLI BRIDGE,",KARNATAKA,,26.0,
4388,,"RIVER TUNGABHADRA,
UPSTREAM OF KURNOOL
TOWN BEFORE JOINING CITY
DOMESTIC SEWAGE AND AFTER
M/S RAYALASEEMA ALKALIES
INDUSTRIES NEAR SIVALAYAM
TEMPLE, GONDIPARLA (V)
KURNOOL (M)","ANDHRA
PRADESH",,22.0,
4389,,"RIVER TUNGABHADRA,
DOWNSTREAM OF KURNOOL
TOWN AFTER JOINING CITY
DOMESTIC SEWAGE","ANDHRA
PRADESH",,22.0,
1174,,"RIVER TUNGABHADRA AT
KURNOOL U/S, BHAVAPURAM","ANDHRA
PRADESH",,21.0,
1785,,"RIVER TUNGABHADRA AT
MANTHRALAYAM, KURNOOL","ANDHRA
PRADESH",,21.0,
1168,,"RIVER TUNGA AT D/S OF
SHIMOGA TOWN,",KARNATAKA,,25.0,
1896,,"RIVER TUNGABHADRA AT
CONFLUENCE POINT OF TUNGA
AND BHADRA AT KUDLI",KARNATAKA,,27.0,
1091,,"RIVER BHADRA AT
MALLESWARAM D/S OF KIOCL",KARNATAKA,,20.0,
1387,,"RIVER BHADRA AT D/S OF
BHADRAVATHI,",KARNATAKA,,27.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1169,,"RIVER BHADRA AT D/S OF
KIOCL ROAD BRIDGE, NEAR
HOLEHUNNUR,",KARNATAKA,,27.0,
2765,,"RIVER BHADRA AT U/S OF
MPM,",KARNATAKA,,27.0,
2771,,"RIVER BHADRA AT U/S OF
KIOCL,",KARNATAKA,,20.0,
1172,,"RIVER MUSI U/S AT GANDIPET,
OSMANSAGAR LAKE,
HYDERABAD",TELANGANA,,20.0,
1173,,"RIVER MUSI D/S AT
PRATAPSINGARAM,
HYDERABAD",TELANGANA,,22.0,
2339,,"RIVER MUSI AT NAGOLE,
RANGAREDDY",TELANGANA,,24.0,
3082,,"RIVER MUSI RESERVOIR AT
KASANIGUDA, NALGONDA",TELANGANA,,17.0,
1178,,"RIVER PALLERU B/C WITH
KRISHNA, JAGGAIAPET","ANDHRA
PRADESH",,26.0,
1177,,"RIVER MUNERU B/C WITH
KRISHNA, NANDIGAMA","ANDHRA
PRADESH",,26.0,
1895,,"RIVER KAGINA D/S OF SEWAGE
DISPOSAL POINT",KARNATAKA,,27.0,
2777,,"RIVER KAGINA AT SHAHABAD
BRIDGE,",KARNATAKA,,28.0,
2349,,"RIVER NAKKAVAGU,
BACHUGUDEM, MEDAK",TELANGANA,,18.0,
2350,,"RIVER HUNDRI AT
JOHARAPURAM(V), NEAR
TEMPLE, KURNOOL","ANDHRA
PRADESH",,20.0,
2705,,"RIVER SINA NEAR LABOTI TOLL
NAKA, LABOTI, MOHAL",MAHARASHTRA,,25.0,
2189,,"RIVER KOYNA AT KARAD,
SATARA",MAHARASHTRA,,21.0,
1911,,"RIVER CHANDRABHAGA U/S OF
PANDHARPUR TOWN,
GURSALE, PANDHARPUR",MAHARASHTRA,,27.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1912,,"RIVER CHANDRABHAGA D/S OF
PANDHARPUR TOWN,
GURSALE, PANDHARPUR,
SOLAPUR",MAHARASHTRA,,27.0,
2195,,"RIVER NIRA AT D/S OF
JUBILANT ORGANOSIS,
NIMBUT, BARAMATI,PUNE",MAHARASHTRA,,23.0,
2681,,"RIVER NIRA AT SANGAVI,
PHALTAN, SATARA",MAHARASHTRA,,24.0,
2682,,"RIVER NIRA AT U/S OF
JUBILANT ORGANOSIS,
NIRA(DATTAGHAT), BARAMATI,
PUNE",MAHARASHTRA,,23.0,
2683,,"RIVER NIRA AT SHINDEWADI.
SHIRVAL, KHANDALA, SATARA",MAHARASHTRA,,21.5,
1463,,"RIVER NIRA AT SAROLA
BDG.ON PUNE-BANGLORE
HIGHWAY, SAROLA, BHOR,
PUNE",MAHARASHTRA,,22.0,
2191,,"RIVER MUTHA AT SANGAM
BRIDGE NEAR GANAPATHY
GHAT, SHIVAJINAGAR, PUNE",MAHARASHTRA,,24.0,
2678,,"RIVER MUTHA NEAR VEER
SAVARKAR BHAVAN, PUNE",MAHARASHTRA,,24.0,
2679,,"RIVER MUTHA AT DECCAN
BRIDGE, DECCAN, PUNE",MAHARASHTRA,,24.0,
2680,,"RIVER MUTHA AT
KHADAKVASLA DAM,
KHADAKVASLA, HAWELI, PUNE.",MAHARASHTRA,,23.0,
2193,,"RIVER MULA AT AUNDH
BRIDGE, AUNDHGAON,
HAWELI, PUNE",MAHARASHTRA,,24.5,
2194,,"RIVER MULA AT HARRISON
BRIDGE NEAR MULA- PAWANA
SANGAM, BOPODI, HAWELI,
PUNE",MAHARASHTRA,,24.5,
"STATION
CODE",,"NAME OF MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2192,,"RIVER MULA-MUTHA AT
MUNDHAWA BRIDGE,
MUNTHAWA,HAWELI, PUNE",MAHARASHTRA,,22.5,
2677,,"RIVER MULA-MUTHA AT D/S OF
THEUR, HAWELI, PUNE",MAHARASHTRA,,22.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1255,,"RIVER PENNAR
B/C WITH
CHITRAVATHI,
TADIPATRI,
UNGANOOR,
ANANTAPURA","ANDHRA
PRADESH",,22.0,
1256,,"RIVER PENNAR
A/C WITH
PAPAGNI,
PUSHPAGINI,
KADAPA","ANDHRA
PRADESH",,21.0,
1257,,"RIVER PENNAR
A/C WITH
CHEYYURU,
SOMASILA,
NELLORE","ANDHRA
PRADESH",,18.0,
30,,"RIVER PENNAR
AT SIDDVATAM,
KADAPA","ANDHRA
PRADESH",,22.0,
2351,,"RIVER KUNDU,
NANDYAL,
NEAR OVER
BDG., KURNOOL","ANDHRA
PRADESH",,20.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1198,,"RIVER CAUVERY AT NAPOKULU
BDG (D/S),",KARNATAKA,,17.0,
1195,,"RIVER CAUVERY AT KUSHAL
NAGAR U/S (NEAR
BAICHANAHALLI),",KARNATAKA,,16.0,
33,,"RIVER CAUVERY AT KRS DAM,
BALAMURIKSHETRA",KARNATAKA,,20.0,
1171,,"RIVER CAUVERY AT SRI
RANGAPATTANNA, D/S OF
ROAD BDG.,",KARNATAKA,,22.0,
1386,,"RIVER CAUVERY AT D/S OF
KAREKUARA VILLAGE,",KARNATAKA,,20.0,
34,,"RIVER CAUVERY AT
SATHYAGALAM BRIDGE",KARNATAKA,,20.0,
2773,,"RIVER CAUVERY AT BANNUR
BRIDGE,",KARNATAKA,,20.0,
2774,,"RIVER CAUVERY AT
RANGANATHITTU,",KARNATAKA,,22.0,
3566,,"RIVER CAUVERY AT KRS DAM
MANDYA",KARNATAKA,,20.0,
3568,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT TO
SRIRANGAPATNA TOWN",KARNATAKA,,22.0,
3569,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT TO
MANDYA TOWN",KARNATAKA,,21.0,
3570,,"RIVER CAUVERY D/S OF KR
NAGAR BRIDGE",KARNATAKA,,21.0,
3571,,"RIVER CAUVERY U/S OF KR
NAGAR",KARNATAKA,,21.0,
3573,,"RIVER CAUVERY D/S OF
KUSHALANAGAR TOWN",KARNATAKA,,16.0,
3574,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT TO
MADIKERI TOWN",KARNATAKA,,16.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3576,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT TO
MYSORE PUMP HOUSE",KARNATAKA,,20.0,
3578,,"RIVER CAUVERY D/S OF
MADDUR WATER SUPPLY
TREATMENT PLANT AT
BACHALLI",KARNATAKA,,20.0,
3579,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT AT
KOLLEGALA DASANAPURA",KARNATAKA,,19.0,
3581,,"RIVER CAUVERY AT WATER
SUPPLY INTAKE POINT AT T K
HALLI",KARNATAKA,,20.0,
4109,,"RIVER CAUVERY BEFORE
CONFLUENCE AT SANGAM",KARNATAKA,,25.0,
4099,,"RIVER CAUVERY D/S
BARACHUKI FALLS,
SATHEGALA, KOLLEGALA",KARNATAKA,,20.0,
4101,,"RIVER GUNDAL AT GUNDAL
RESERVOIR, KOLLEGALA TQ &
CHAMARAJANAGARA DIST",KARNATAKA,,18.0,
4102,,"RIVER CAUVERY D/S AT
BHAGAMANDALA BRIDGE",KARNATAKA,,16.0,
4103,,"RIVER CAUVERY D/S AT
KANIVE RAMALINGESWARA
TEMPLE BRIDGE,
KUSHALNAGAR",KARNATAKA,,17.0,
30052,,"RIVER CAUVERY AT AJJIBORE
(BANGALORE)",KARNATAKA,,24.0,
50,,RIVER CAUVERY AT METTUR,"TAMIL
NADU",,26.0,
51,,"RIVER CAUVERY AT
PALLIPPALAYAM","TAMIL
NADU",,20.0,
1320,,"RIVER CAUVERY AT ERODE
NEAR CHIRAPALAYAM,
TAMILNADU","TAMIL
NADU",,28.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1323,,"RIVER CAUVERY AT VELORE
NEAR KATTIPALAYAM,
TAMILNADU","TAMIL
NADU",,26.0,
3015,,"RIVER CAUVERY AT PUGALUR,
KARUR, TAMILNADU","TAMIL
NADU",,28.0,
1324,,"RIVER CAUVERY AT MOHANUR
NEAR PATTAIPALAYAM,
TAMILNADU","TAMIL
NADU",,23.0,
1451,,"RIVER CAUVERY AT
THIRUMUKKUDAL-CONFL.
PT.OF R. AMRAVATI,
TAMILNADU","TAMIL
NADU",,30.2,
31,,RIVER CAUVERY AT MUSIRI,"TAMIL
NADU",,25.0,
3016,,"RIVER CAUVERY AT
PETTAIVAITHALAI, TRICHY,
TAMILNADU","TAMIL
NADU",,26.0,
1202,,"RIVER CAUVERY AT
TIRUCHIRAPPALLI U/S,
TAMILNADU","TAMIL
NADU",,26.0,
1325,,"RIVER CAUVERY AT
TIRUCHIRAPPALLI D/S,
TAMILNADU","TAMIL
NADU",,25.0,
1203,,"RIVER CAUVERY AT TRICHY,
GRAND ANAICUT, TAMILNADU","TAMIL
NADU",,24.0,
1206,,"RIVER CAUVERY AT
THANJAVUR, TAMILNADU","TAMIL
NADU",,26.0,
3018,,"RIVER CAUVERY AT
MAYILADUTHURAI,
NAGAPATTINAM, TAMILNADU","TAMIL
NADU",,24.0,
3012,,"RIVER CAUVERY AT
KOMARAPALAYAM,
NAMAKAL, TAMILNADU","TAMIL
NADU",,28.0,
3013,,"RIVER CAUVERY AT
URRACHIKOTTAI, ERODE,
TAMILNADU","TAMIL
NADU",,28.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3014,,"RIVER CAUVERY AT
VAIRAPALAYAM, NAMAKAL,
TAMILNADU","TAMIL
NADU",,29.0,
4827,,"RIVER LOCATIONS AT
KUMARAPALAYAM","TAMIL
NADU",,27.0,
3017,,"RIVER CAUVERY AT
KUMBAKONAM, THANJAVUR,
TAMILNADU","TAMIL
NADU",,26.0,
1326,,"RIVER CAUVERY AT
COLEROON, TAMILNADU","TAMIL
NADU",,24.0,
1327,,"RIVER CAUVERY AT
PITCHAVARAM, TAMILNADU","TAMIL
NADU",,23.0,
1322,,"RIVER CAUVERY AT 1KM. D/S
OF BHAVANI CONFL.,
TAMILNADU","TAMIL
NADU",,28.0,
10064,,"RIVER CAUVERY AT BHAWANI
D/S","TAMIL
NADU",,28.0,
10065,,RIVER CAUVERY AT ERODE U/S,"TAMIL
NADU",,27.0,
10067,,"RIVER CAUVERY AT
KUMARAPALAYAM U/S","TAMIL
NADU",,28.0,
10070,,"RIVER CAUVERY AT
PALLIPALAYAM D/S","TAMIL
NADU",,20.0,
10073,,RIVER CAUVERY AT KARUR U/S,"TAMIL
NADU",,20.0,
10078,,"RIVER CAUVERY AT
MAYILADUTHURAI D/S","TAMIL
NADU",,23.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
